id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20001	葛林		9C	E8	A9	-1
20002	兔子		9C	E8	A9	-1
20003	哥布林		9C	E8	A9	-1
20004	安普		9C	E8	A9	-1
20005	安普圖倫		9C	E8	A9	-1
20006	獸人弓箭手		9C	E8	A9	-1
20007	森林蘑菇		9C	E8	A9	-1
20008	菲林蜥蜴人		9C	E8	A9	-1
20009	普庫獸人		9C	E8	A9	-1
20010	菲林蜥蜴人巡守		9C	E8	A9	-1
20011	普庫獸人弓箭手		9C	E8	A9	-1
20012	萊斯狼人		9C	E8	A9	-1
20013	樹精		9C	E8	A9	-1
20014	菲林蜥蜴人戰士		9C	E8	A9	-1
20015	沼澤殭屍		9C	E8	A9	-1
20016	岩石高崙		9C	E8	A9	-1
20017	普庫獸人戰士		9C	E8	A9	-1
20018	食人蘑菇		9C	E8	A9	-1
20019	樹精利比		9C	E8	A9	-1
20020	沼澤殭屍偵查員		9C	E8	A9	-1
20021	紅毛熊		9C	E8	A9	-1
20022	戰慄搜尋者		9C	E8	A9	-1
20023	黑豹		9C	E8	A9	-1
20024	朗克蜥蜴人戰士		9C	E8	A9	-1
20025	亞黑暗鐮刀		9C	E8	A9	-1
20026	廢墟殭屍		9C	E8	A9	-1
20027	朗克蜥蜴人巡守		9C	E8	A9	-1
20028	路行蜘蛛		9C	E8	A9	-1
20029	廢墟殭屍頭目		9C	E8	A9	-1
20030	朗克蜥蜴人		9C	E8	A9	-1
20031	瑪瑙獸		9C	E8	A9	-1
20032	大蜘蛛		9C	E8	A9	-1
20033	影之鐮刀		9C	E8	A9	-1
20034	蜘蛛攔截者		9C	E8	A9	-1
20035	骷髏搜查兵		9C	E8	A9	-1
20036	風精		9C	E8	A9	-1
20037	瑪那吸血鬼		9C	E8	A9	-1
20038	巨大毒蜘蛛		9C	E8	A9	-1
20039	食腐鼠人		9C	E8	A9	-1
20040	斯卡鼠人		9C	E8	A9	-1
20041	腐爛殭屍		9C	E8	A9	-1
20042	骷髏搜查兵隊長		9C	E8	A9	-1
20043	縛毒蜘蛛		9C	E8	A9	-1
20044	風精圖倫		9C	E8	A9	-1
20045	骷髏巡守		9C	E8	A9	-1
20046	血色殭屍		9C	E8	A9	-1
20047	斯卡鼠人隊長		9C	E8	A9	-1
20048	小魅魔		9C	E8	A9	-1
20049	獸化狼人		9C	E8	A9	-1
20050	劇毒掠奪者		9C	E8	A9	-1
20051	骷髏射手		9C	E8	A9	-1
20052	小魅魔圖倫		9C	E8	A9	-1
20053	豺狼巡邏員		9C	E8	A9	-1
20054	廢墟史巴托		9C	E8	A9	-1
20055	監視者		9C	E8	A9	-1
20056	德雷巴奴破壞者		9C	E8	A9	-1
20057	小魅魔堤佛		9C	E8	A9	-1
20058	豺狼警衛兵		9C	E8	A9	-1
20059	巡邏者		9C	E8	A9	-1
20060	狂怒的史巴托		9C	E8	A9	-1
20061	豺狼殘存者		9C	E8	A9	-1
20062	突倫食人妖		9C	E8	A9	-1
20063	豺狼射手		9C	E8	A9	-1
20064	突倫食人妖戰士		9C	E8	A9	-1
20065	豺狼巡守		9C	E8	A9	-1
20066	豺狼軍官		9C	E8	A9	-1
20067	觀察者		9C	E8	A9	-1
20068	搜索者		9C	E8	A9	-1
20069	西魯蜥蜴人巡守		9C	E8	A9	-1
20070	邪惡蜥蜴		9C	E8	A9	-1
20071	西魯蜥蜴人戰士		9C	E8	A9	-1
20072	劇毒邪惡蜥蜴		9C	E8	A9	-1
20073	豺狼軍團兵		9C	E8	A9	-1
20074	毒蠍		9C	E8	A9	-1
20075	幼蟻		9C	E8	A9	-1
20076	豺狼指揮官		9C	E8	A9	-1
20077	狩獵毒蠍		9C	E8	A9	-1
20078	風之細語		9C	E8	A9	-1
20079	工蟻		9C	E8	A9	-1
20080	工蟻隊長		9C	E8	A9	-1
20081	工蟻監督者		9C	E8	A9	-1
20082	兵蟻新兵		9C	E8	A9	-1
20083	花崗石高崙		9C	E8	A9	-1
20084	兵蟻斥候		9C	E8	A9	-1
20085	破壞者		9C	E8	A9	-1
20086	兵蟻警衛		9C	E8	A9	-1
20087	兵蟻		9C	E8	A9	-1
20088	兵蟻隊長		9C	E8	A9	-1
20089	雄蟻		9C	E8	A9	-1
20090	雄蟻隊長		9C	E8	A9	-1
20091	幼狐狸		9C	E8	A9	-1
20092	眼怪		9C	E8	A9	-1
20093	獸人鬥士		9C	E8	A9	-1
20094	獸人射手		9C	E8	A9	-1
20095	吸血蝙蝠		9C	E8	A9	-1
20096	獸人鬥士副隊長		9C	E8	A9	-1
20097	長齒蝙蝠		9C	E8	A9	-1
20098	獸人鬥士隊長		9C	E8	A9	-1
20099	骷髏		9C	E8	A9	-1
20100	骷髏弓箭手		9C	E8	A9	-1
20101	碎裂者		9C	E8	A9	-1
20102	骷髏狙擊兵		9C	E8	A9	-1
20103	巨大蜘蛛		9C	E8	A9	-1
20104	骷髏偵查員		9C	E8	A9	-1
20105	黑暗鐮刀		9C	E8	A9	-1
20106	戮殺者		9C	E8	A9	-1
20107	鼠人		9C	E8	A9	-1
20108	撕裂者		9C	E8	A9	-1
20109	火蜥蜴		9C	E8	A9	-1
20110	水精		9C	E8	A9	-1
20111	鼠人副隊長		9C	E8	A9	-1
20112	火蜥蜴利比		9C	E8	A9	-1
20113	水精利比		9C	E8	A9	-1
20114	火蜥蜴夷巴		9C	E8	A9	-1
20115	水精夷巴		9C	E8	A9	-1
20116	狐狸		9C	E8	A9	-1
20117	德雷巴奴		9C	E8	A9	-1
20118	德雷巴奴巡守		9C	E8	A9	-1
20119	狐狸首領		9C	E8	A9	-1
20120	狼		9C	E8	A9	-1
20121	巨大蛤蟆		9C	E8	A9	-1
20130	獸人		9C	E8	A9	-1
20131	獸人士兵		9C	E8	A9	-1
20132	狼人		9C	E8	A9	-1
20133	食人妖		9C	E8	A9	-1
20134	蛇人之后		9C	E8	A9	-1
20135	鱷魚		9C	E8	A9	-1
20136	死亡騎士		9C	E8	A9	-1
20137	飛龍		9C	E8	A9	-1
20138	翼魔		9C	E8	A9	-1
20139	巨大蜜蜂		9C	E8	A9	-1
20140	巨大水蛭		9C	E8	A9	-1
20141	巨大野豬		9C	E8	A9	-1
20142	獅鷲		9C	E8	A9	-1
20143	灰熊		9C	E8	A9	-1
20144	死亡之樹		9C	E8	A9	-1
20145	鳥妖		9C	E8	A9	-1
